fetch_timestamp_utc,data_timestamp_utc,symbol,last_price,mark_price,index_price,open_interest,funding_rate
2026-05-13T12:50:23.118599+00:00,2026-05-13T12:00:00+00:00,XRPUSDT,1.4334,1.4334,1.4343,172161606.4,0.0001
2026-05-13T12:50:23.225801+00:00,2026-05-13T12:00:00+00:00,ADAUSDT,0.2681,0.2681,0.2683,262708486,0.0001
2026-05-13T12:50:23.337812+00:00,2026-05-13T12:00:00+00:00,DOGEUSDT,0.11177,0.11178,0.11185,1490976018,0.0001
2026-05-13T12:50:23.450701+00:00,2026-05-13T12:00:00+00:00,LINKUSDT,10.326,10.326,10.336,6457289,-0.00002989
2026-05-13T12:50:23.565066+00:00,2026-05-13T12:00:00+00:00,AVAXUSDT,9.868,9.869,9.875,6483632,0.00005014
2026-05-13T12:50:23.678723+00:00,2026-05-13T12:00:00+00:00,BNBUSDT,672.10,672.10,672.57,158666.93,0.0001
2026-05-13T12:50:23.792674+00:00,2026-05-13T12:00:00+00:00,LTCUSDT,57.77,57.79,57.82,1008404.6,0.0001
2026-05-13T12:50:23.909718+00:00,2026-05-13T12:00:00+00:00,BCHUSDT,436.40,436.40,436.61,113194.87,-0.00011145
2026-05-13T12:50:24.029498+00:00,2026-05-13T12:00:00+00:00,APTUSDT,1.0763,1.0763,1.0771,18915569,-0.00012531
2026-05-13T12:50:24.142937+00:00,2026-05-13T12:00:00+00:00,ARBUSDT,0.13605,0.13605,0.13611,262330941.8,-0.00001546
2026-05-13T12:50:24.253013+00:00,2026-05-13T12:00:00+00:00,OPUSDT,0.14951,0.14951,0.14959,116425616.4,-0.00006531
2026-05-13T12:50:24.366236+00:00,2026-05-13T12:00:00+00:00,SUIUSDT,1.21910,1.21910,1.21997,68605810,-0.00004375
2026-05-13T12:50:24.484457+00:00,2026-05-13T12:00:00+00:00,POLUSDT,0.09914,0.09915,0.09930,157482538,-0.00045041
2026-05-13T12:50:24.594844+00:00,2026-05-13T12:00:00+00:00,NEARUSDT,1.5887,1.5887,1.5892,41915071.7,0.0001
2026-05-13T12:50:24.709069+00:00,2026-05-13T12:00:00+00:00,DOTUSDT,1.3622,1.3622,1.3633,15642178.8,0.0001
2026-05-13T12:50:24.920585+00:00,2026-05-13T12:00:00+00:00,TRXUSDT,0.35033,0.35033,0.35044,111741008,0.0001
2026-05-13T13:00:01.140929+00:00,2026-05-13T13:00:00+00:00,BTCUSDT,80150.20,80157.87,80205.13,52864.374,0.00004536
2026-05-13T13:00:01.276410+00:00,2026-05-13T13:00:00+00:00,ETHUSDT,2282.87,2283.70,2284.39,806702.76,0.0000446
2026-05-13T13:00:01.393233+00:00,2026-05-13T13:00:00+00:00,SOLUSDT,93.130,93.136,93.192,6915587.7,0.00001919
2026-05-13T13:00:01.499587+00:00,2026-05-13T13:00:00+00:00,XRPUSDT,1.4328,1.4331,1.4337,172249857.8,0.0001
2026-05-13T13:00:01.611714+00:00,2026-05-13T13:00:00+00:00,ADAUSDT,0.2678,0.2679,0.2681,262350374,0.00009519
2026-05-13T13:00:01.725821+00:00,2026-05-13T13:00:00+00:00,DOGEUSDT,0.11175,0.11175,0.11182,1494564001,0.0001
2026-05-13T13:00:01.834957+00:00,2026-05-13T13:00:00+00:00,LINKUSDT,10.317,10.320,10.328,6454296.4,-0.00003018
2026-05-13T13:00:01.950464+00:00,2026-05-13T13:00:00+00:00,AVAXUSDT,9.857,9.857,9.861,6480680.6,0.0000504
2026-05-13T13:00:02.059697+00:00,2026-05-13T13:00:00+00:00,BNBUSDT,672.30,672.30,672.77,157704.47,0.0001
2026-05-13T13:00:02.174157+00:00,2026-05-13T13:00:00+00:00,LTCUSDT,57.73,57.73,57.76,1009879,0.0001
2026-05-13T13:00:02.298445+00:00,2026-05-13T13:00:00+00:00,BCHUSDT,436.10,436.10,436.35,113518.29,-0.00010542
2026-05-13T13:00:02.409215+00:00,2026-05-13T13:00:00+00:00,APTUSDT,1.0749,1.0754,1.0762,18903799.82,-0.00014015
2026-05-13T13:00:02.535166+00:00,2026-05-13T13:00:00+00:00,ARBUSDT,0.13554,0.13557,0.13571,262663732.4,-0.0000294
2026-05-13T13:00:02.659387+00:00,2026-05-13T13:00:00+00:00,OPUSDT,0.14937,0.14937,0.14949,116226699.6,-0.00008513
2026-05-13T13:00:02.776985+00:00,2026-05-13T13:00:00+00:00,SUIUSDT,1.21950,1.21968,1.22049,68835950,-0.00004228
2026-05-13T13:00:02.892720+00:00,2026-05-13T13:00:00+00:00,POLUSDT,0.09906,0.09906,0.09912,157752448,-0.00037102
2026-05-13T13:00:03.003288+00:00,2026-05-13T13:00:00+00:00,NEARUSDT,1.5883,1.5887,1.5902,41935799.3,0.0001
