symbol,side,entry_time,exit_time,entry_idx,exit_idx,entry_price,exit_price,pnl_pct,net_pnl_pct,pnl_portfolio_pct,exit_reason,mfe_atr,mae_atr,bars_held,rsi_14,adx_1h,adx_prev_1h,vol_ratio,atr,ema20,ema50,ema200,btc_adx,btc_ema20,btc_ema50,btc_ema200,btc_regime_pass,confirmation_type,had_pullback,close_position,execution_model,balance_before_entry,balance_before_exit,balance_after_exit,forward_return_4bars,forward_return_8bars
FTMUSDT,long,2022-12-14 18:00:00,2022-12-14 19:00:00,16986,16987,0.2507,0.24405714285714297,-2.6497236309760694,-2.7897236309760696,-1.1392509999999842,STOP_LOSS,0.8430107526881976,3.4623655913979188,1,58.6198539511962,33.40077609769624,32.988820098504675,2.05049586502441,0.0033214285714285,0.2487030387920352,0.2445059850009885,0.239169359526126,48.39571911566041,17902.513348825352,17657.344223919183,17261.293661237105,True,rsi_rebound,True,0.49206341395818476,enter_on_signal_bar_close,99.72029386282405,99.65048965712008,98.5842294177889,-4.028719585161536,-4.9062624650977185
NEARUSDT,long,2023-01-07 19:00:00,2023-01-08 00:00:00,17563,17568,1.574,1.5488571428571432,-1.597386095480109,-1.7373860954801088,-1.13925099999999,STOP_LOSS,0.3977272727272665,4.931818181818214,5,61.008974101244974,32.36656304672606,31.52628907612409,1.1280941597925103,0.0125714285714285,1.556269372421243,1.5427999144737323,1.4462375845850632,34.66307321854136,16916.74150539573,16880.32100125946,16778.435236051493,True,rsi_rebound,True,0.8260869206049174,enter_on_signal_bar_close,98.86074900000001,98.79154647570002,97.73447692841003,-0.9529860228716723,-1.84243964421856
ETHUSDT,long,2023-01-08 20:00:00,2023-01-08 23:00:00,17708,17711,1269.89,1284.4850000000001,1.149312145146432,1.0093121451464322,1.3589990000000114,TAKE_PROFIT,5.366906474820095,0.4665981500514281,3,59.78859709687206,30.634706198662908,27.437993452250417,1.7447034496039797,4.865000000000025,1264.566437026334,1262.1757474638705,1242.3940422085068,26.5782577224866,16933.731333493626,16914.558564422943,16812.86565065696,True,vol_and_rsi,True,0.8056580564814805,enter_on_signal_bar_close,99.80509324375629,99.73522967848567,101.16144346288802,1.94741276803501,3.1585412909779507
DOTUSDT,long,2023-01-13 15:00:00,2023-01-14 00:00:00,17823,17832,5.285,5.439714285714286,2.9274226246790205,2.7874226246790204,1.3589990000000114,TAKE_PROFIT,6.476454293628798,1.2797783933517966,9,62.16529403090397,37.70211640132573,37.60464059416517,2.2755396593251946,0.0515714285714286,5.208424057751985,5.1350360532439705,4.894825815287442,46.33423923818234,18830.420144225936,18445.96571391673,17592.064864146883,True,vol_and_rsi,True,0.8539325746749167,enter_on_signal_bar_close,100.0,99.93,101.35899900000001,-0.24597918637653546,2.100283822138122
AVAXUSDT,long,2023-01-13 20:00:00,2023-01-13 22:00:00,17828,17830,15.902,15.902,0.0,-0.13999999999999999,-0.1399509999999969,BREAK_EVEN_SL,2.328329759351922,0.8039075530140554,2,61.52842420582286,31.05796757674093,30.44178665340088,1.3013271929017265,0.2997857142857147,15.528400814477829,15.073890141705268,13.377939224550026,52.33978826025765,19019.54853866192,18601.056548367505,17675.204584780164,True,vol_and_rsi,True,0.8734939732726039,enter_on_signal_bar_close,97.73447692841003,97.66606279456015,97.59769655060396,1.8739781159602569,5.4395673500188675
LTCUSDT,long,2023-01-21 16:00:00,2023-01-21 23:00:00,17896,17903,90.27,87.77,-2.7694693696687716,-2.9094693696687717,-1.1392509999999874,STOP_LOSS,0.439999999999997,2.143999999999991,7,64.46164973429676,57.77200350557957,57.021530652968295,1.6589724420202645,1.250000000000002,88.9926279822047,87.48618991586987,85.56026763535274,62.36684551291378,22630.666850654183,22023.75435140252,20826.035708627704,True,vol_and_rsi,True,0.6842105260387805,enter_on_signal_bar_close,100.0,99.93,98.86074900000001,0.05538938739337229,-2.1934197407776557
OPUSDT,long,2023-01-22 04:00:00,2023-01-22 05:00:00,5630,5631,2.3744,2.3744,0.0,-0.13999999999999999,-0.13995099999998217,BREAK_EVEN_SL,1.8737476899134315,0.6332068864896407,1,63.40493526464968,35.158636579303334,35.05016741309009,1.3552393390678634,0.0734357142857143,2.266191993843768,2.140831371426352,1.828936703484986,43.62083536085067,22822.860722197285,22372.48862315478,21066.925722785123,True,vol_and_rsi,True,0.7957104514975311,enter_on_signal_bar_close,100.0,99.93,99.86004900000002,-2.307951482479792,-2.1479110512129447
TRXUSDT,long,2023-01-29 17:00:00,2023-01-30 09:00:00,18089,18105,0.06342,0.0624714285714286,-1.4956976167950216,-1.6356976167950215,-1.1392509999999842,STOP_LOSS,1.39156626506027,4.027108433735065,16,53.66621678581219,34.19483628470891,33.079658011132,3.300376864836227,0.0004742857142857,0.0633137263055475,0.0630367995395865,0.0621299032018204,48.025690754012246,23350.564376466253,23190.22267277617,22703.381098152106,True,rsi_rebound,True,0.35398198762655997,enter_on_signal_bar_close,99.72029386282405,99.65048965712008,98.5842294177889,0.6937874487543297,0.22075055187638165
SOLUSDT,long,2023-04-14 00:00:00,2023-04-14 01:00:00,19872,19873,24.719,24.719,0.0,-0.13999999999999999,-0.13995099999998217,BREAK_EVEN_SL,1.6224643125469531,0.2498121712997814,1,60.06332680352632,42.70838156719806,42.47608336346249,1.5625645321927146,0.3802857142857136,24.43711737191191,23.87165238904115,22.12909692973111,34.72014086883214,30291.94423140291,30087.09244359594,29167.72337449343,True,vol_and_rsi,True,0.6577946759723781,enter_on_signal_bar_close,100.0,99.93,99.86004900000002,1.828552934989272,1.0032768315870284
XRPUSDT,long,2023-05-29 17:00:00,2023-05-29 19:00:00,20969,20971,0.4845,0.4845,0.0,-0.13999999999999999,-0.1399509999999897,BREAK_EVEN_SL,2.9006342494714925,1.5983086680761116,2,66.79603545443396,33.447510250699914,33.26729974398662,2.6015835428869423,0.0033785714285714,0.4798829827941764,0.4764133183975229,0.4655897092689687,38.19149743967073,27763.83290573473,27500.35104703281,27042.729311931347,True,vol_and_rsi,True,0.6626505225722245,enter_on_signal_bar_close,98.72239239316704,98.65328671849183,98.58422941778889,0.9494324045407623,1.279669762641907
